state_name,2001 crime against children,2012 crime against children,Population of 2001,Population of 2012,Literacy rate of 2001,Literacy rate of 2012,Poverty rate of 2001,Poverty rate of 2012,Child labour 2001,Child labour 2012,Growth/Decrease in Population(%),Growth/Decrease in Literacy rate(%),Growth/Decrease in Pverty rate(%),Growth/Decrease in Child labour(%),Growth/Decrease in crime against children(%)
A & N ISLANDS,0,28,356152,381174,81.3,86.6,0.36,1.57,1960,999,7.03,6.52,336.11,-96.2,0.0
ANDHRA PRADESH,270,2274,76200000,85000000,60.47,67.7,4.19,9.2,1363339,404851,11.55,11.96,119.57,-236.75,742.22
ARUNACHAL PRADESH,0,39,1098000,1403000,54.3,67.0,22.6,34.7,18482,5766,27.78,23.39,53.54,-220.53,0.0
ASSAM,18,392,26655528,31169272,63.3,73.3,35.32,31.98,351416,99512,16.93,15.8,-9.46,-253.14,2077.78
BIHAR,83,2894,82998509,103804637,47.0,63.8,42.6,33.7,1117500,451590,25.07,35.74,-20.89,-147.46,3386.75
CHANDIGARH,58,96,900635,995000,81.9,86.4,5.0,21.81,3779,3135,10.48,5.49,336.2,-20.54,65.52
CHHATTISGARH,500,1881,20833803,25540196,64.7,71.0,40.2,39.93,364572,63884,22.59,9.74,-0.67,-470.68,276.2
D & N HAVELI,0,8,220490,350000,57.6,77.7,17.14,17.14,4274,1054,58.74,34.9,0.0,-305.5,0.0
DAMAN & DIU,0,8,158204,195000,78.2,87.1,34.2,5.09,729,774,23.26,11.38,-85.12,5.81,0.0
DELHI,500,4462,13850507,16896984,81.67,86.3,25.0,9.91,41899,36000,22.0,5.67,-60.36,-16.39,792.4
GOA,34,122,1343998,1457723,82.0,87.4,9.9,5.09,4138,6920,8.46,6.59,-48.59,40.2,258.82
GUJARAT,572,1327,41310000,60383628,69.1,79.3,33.0,16.6,485530,250318,46.17,14.76,-49.7,-93.97,131.99
HARYANA,363,1015,21144564,25353081,57.9,76.6,24.11,11.2,253491,53492,19.9,32.3,-53.55,-373.89,179.61
HIMACHAL PRADESH,82,266,6077900,6856509,76.5,83.8,23.0,8.1,107774,15001,12.81,9.54,-64.78,-618.45,224.39
JAMMU & KASHMIR,28,40,10143700,12548926,55.5,68.7,19.56,10.3,175630,25528,23.71,23.78,-47.34,-587.99,42.86
JHARKHAND,41,113,26945829,32966238,53.6,67.6,47.0,37.0,407200,90996,22.34,26.12,-21.28,-347.49,175.61
KARNATAKA,68,875,52850562,61130704,66.6,75.6,31.0,20.9,822615,249432,15.67,13.51,-32.58,-229.8,1186.76
KERALA,247,1324,31841374,33387677,90.9,93.9,20.8,7.1,26156,21757,4.86,3.3,-65.87,-20.22,436.03
LAKSHADWEEP,1,0,60650,65000,86.7,92.2,1.6,2.77,27,28,7.17,6.34,73.12,3.57,-100.0
MADHYA PRADESH,1425,5168,60348203,72597565,63.7,70.6,35.0,31.6,1065259,286310,20.3,10.83,-9.71,-272.06,262.67
MAHARASHTRA,1621,3456,96878627,112372972,76.9,82.9,24.0,17.4,764075,496916,15.99,7.8,-27.5,-53.76,113.2
MANIPUR,0,104,2293896,2721756,70.5,79.8,49.96,36.9,28836,11805,18.65,13.19,-26.14,-144.27,0.0
MEGHALAYA,0,91,2318822,2964007,62.5,75.5,50.0,11.9,53940,18839,27.82,20.8,-76.2,-186.32,0.0
MIZORAM,0,95,888573,1091014,88.8,91.6,53.0,20.4,26265,2793,22.78,3.15,-61.51,-840.39,0.0
NAGALAND,0,13,1990036,1980602,66.6,80.1,17.0,18.9,45874,11062,-0.47,20.27,11.18,-314.7,0.0
ODISHA,68,418,36800000,41947358,63.1,73.5,47.15,32.6,377594,92087,13.99,16.48,-30.86,-310.04,514.71
PUDUCHERRY,5,32,974345,681000,81.2,86.5,20.88,15.0,1904,1421,-30.11,6.53,-28.16,-33.99,540.0
PUNJAB,123,877,24358999,27704236,69.7,76.7,17.0,8.3,177268,90353,13.73,10.04,-51.18,-96.19,613.01
RAJASTHAN,218,1807,68548437,68621012,60.1,67.1,19.85,14.7,1262570,252338,0.11,11.65,-25.94,-400.35,728.9
SIKKIM,5,30,540493,607688,68.8,82.2,36.55,8.2,16457,2704,12.43,19.48,-77.56,-508.62,500.0
TAMIL NADU,61,1036,62405679,72138958,73.5,80.3,22.0,11.3,418801,151437,15.6,9.25,-48.64,-176.55,1598.36
TRIPURA,0,20,3199203,3671037,73.2,87.8,55.0,14.0,21756,4998,14.75,19.95,-74.55,-335.29,0.0
UTTAR PRADESH,3709,6033,166197921,199581477,56.3,69.7,40.0,29.4,1927997,896301,20.09,23.8,-26.5,-115.11,62.66
UTTARAKHAND,46,122,8489349,10116752,71.6,79.6,34.0,11.3,70183,28098,19.17,11.17,-66.76,-149.78,165.22
WEST BENGAL,167,1706,80176192,91347736,68.6,77.1,40.0,20.0,857087,234275,13.93,12.39,-50.0,-265.85,921.56
