STATE/UT,COMMERCIAL ESTABLISHMENTS - Dacoity,COMMERCIAL ESTABLISHMENTS - Robbery,COMMERCIAL ESTABLISHMENTS - Burglary,COMMERCIAL ESTABLISHMENTS - Theft
A & N ISLANDS,0,1,110,144
ANDHRA PRADESH,74,232,12032,30960
ARUNACHAL PRADESH,29,164,654,758
ASSAM,288,882,5545,11229
BIHAR,399,862,2711,14233
CHANDIGARH,10,56,946,4303
CHHATTISGARH,61,133,3459,4792
D & N HAVELI,10,3,143,203
DAMAN & DIU,14,5,226,89
DELHI,63,453,3887,16116
GOA,6,27,1012,793
GUJARAT,445,963,10782,25015
HARYANA,91,490,9135,20822
HIMACHAL PRADESH,6,17,2101,874
JAMMU & KASHMIR,6,86,3653,2874
JHARKHAND,163,395,1148,9924
KARNATAKA,147,708,12051,21616
KERALA,175,520,8288,4533
LAKSHADWEEP,0,0,6,31
MADHYA PRADESH,113,650,14999,25211
MAHARASHTRA,641,1957,33323,42434
MANIPUR,0,1,341,813
MEGHALAYA,59,78,212,648
MIZORAM,2,0,887,1935
NAGALAND,9,103,249,704
ODISHA,382,1445,5843,7925
PUDUCHERRY,6,10,280,445
PUNJAB,49,228,6388,7446
RAJASTHAN,47,225,15034,12556
SIKKIM,0,4,99,88
TAMIL NADU,80,753,6278,26134
TRIPURA,5,86,371,790
UTTAR PRADESH,130,312,3974,10103
UTTARAKHAND,23,41,883,1647
WEST BENGAL,286,569,425,19296
