STATE/UT,RIVER and SEA - Dacoity,RIVER and SEA - Robbery,RIVER and SEA - Burglary,RIVER and SEA - Theft
A & N ISLANDS,0,0,1,40
ANDHRA PRADESH,3,21,101,439
ARUNACHAL PRADESH,0,1,0,4
ASSAM,19,14,16,50
BIHAR,4,26,0,29
CHANDIGARH,0,0,0,0
CHHATTISGARH,4,2,0,11
D & N HAVELI,0,0,0,19
DAMAN & DIU,1,0,0,8
DELHI,0,0,0,0
GOA,0,3,0,14
GUJARAT,8,16,4,116
HARYANA,1,6,0,1
HIMACHAL PRADESH,0,0,0,1
JAMMU & KASHMIR,0,0,0,96
JHARKHAND,0,8,0,9
KARNATAKA,2,3,0,32
KERALA,4,1,1,45
LAKSHADWEEP,0,0,0,1
MADHYA PRADESH,3,40,44,511
MAHARASHTRA,12,14,4,633
MANIPUR,0,0,0,5
MEGHALAYA,0,0,0,2
MIZORAM,7,3,0,7
NAGALAND,0,0,0,0
ODISHA,0,4,0,58
PUDUCHERRY,0,0,0,1
PUNJAB,0,0,0,7
RAJASTHAN,0,0,0,46
SIKKIM,0,0,0,0
TAMIL NADU,2,12,1,161
TRIPURA,0,0,0,0
UTTAR PRADESH,2,6,0,0
UTTARAKHAND,0,0,0,0
WEST BENGAL,0,10,0,7
