STATE/UT,TOTAL - Dacoity,TOTAL - Robbery,TOTAL - Burglary,TOTAL - Theft
A & N ISLANDS,15,74,892,1124
ANDHRA PRADESH,1987,7605,97336,287190
ARUNACHAL PRADESH,260,843,2780,5178
ASSAM,4170,7467,34752,85475
BIHAR,11099,23666,40293,153372
CHANDIGARH,31,397,2947,18474
CHHATTISGARH,1468,5113,44656,62873
D & N HAVELI,40,30,388,773
DAMAN & DIU,36,27,525,613
DELHI,381,6461,23555,231546
GOA,55,298,3700,8045
GUJARAT,3842,14383,60689,213207
HARYANA,1375,5871,46504,131394
HIMACHAL PRADESH,45,236,9689,9658
JAMMU & KASHMIR,188,1312,17050,25767
JHARKHAND,5906,8711,16680,71322
KARNATAKA,2581,17287,73298,199960
KERALA,1364,8329,46371,62353
LAKSHADWEEP,3,0,36,113
MADHYA PRADESH,1655,22314,137346,263860
MAHARASHTRA,8175,37719,185617,556807
MANIPUR,48,83,755,4834
MEGHALAYA,798,972,1888,6004
MIZORAM,45,114,4748,9803
NAGALAND,125,1042,1146,3802
ODISHA,3381,14705,36505,82837
PUDUCHERRY,38,89,1064,7366
PUNJAB,460,1828,27621,50503
RAJASTHAN,563,9071,65268,232974
SIKKIM,6,64,877,1019
TAMIL NADU,1237,11272,53339,185160
TRIPURA,197,721,2212,4353
UTTAR PRADESH,4809,30767,65587,312047
UTTARAKHAND,357,1990,5578,20035
WEST BENGAL,2642,7354,5500,190468
