state_name,Police_Injured_Total_Policemen,Police_Killed_Total_Policemen,Cases_Registered_under_Human_Rights_Violations,Policemen_Chargesheeted,RIOTS
ANDHRA PRADESH,1890,499,113,55,46742
ARUNACHAL PRADESH,40,1,20,6,526
ASSAM,232,143,151,2,55116
BIHAR,312,231,26,13,168914
CHANDIGARH,283,21,1,0,1280
CHHATTISGARH,421,426,312,71,18106
DAMAN & DIU,0,0,0,0,476
DELHI,1133,189,12,16,1734
GOA,177,2,3,1,1234
GUJARAT,1087,515,113,83,37638
HARYANA,276,359,11,7,19532
HIMACHAL PRADESH,127,33,0,0,12104
JAMMU & KASHMIR,5231,571,18,13,26804
JHARKHAND,267,329,3,1,48270
KARNATAKA,2193,201,37,9,127308
KERALA,4334,61,8,1,149164
MADHYA PRADESH,1890,310,8,7,54186
MAHARASHTRA,5873,912,45,39,145656
MANIPUR,43,48,3,0,1418
MEGHALAYA,100,35,0,0,278
MIZORAM,5,19,0,0,94
NAGALAND,5,5,0,0,122
ODISHA,579,116,31,9,34232
PUDUCHERRY,147,1,1,0,3068
PUNJAB,307,922,11,5,66
RAJASTHAN,2547,400,8,4,69498
TAMIL NADU,1835,494,11,9,62446
TRIPURA,164,147,0,0,3444
UTTAR PRADESH,1159,1075,54,77,86824
UTTARAKHAND,91,93,1,0,8864
WEST BENGAL,3754,201,14,8,77048
